# robot: unitree_r1
# sample_rate: 50.000000
# num_dofs: 26
# source_format: normalized_r1_trajectory
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_waist_roll_joint,dof_waist_yaw_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint,dof_head_pitch_joint,dof_head_yaw_joint
2.7600000000,0.3525782116,0.2637631598,0.3919735876,0.0657623013,-0.3730541778,-0.0501382264,-0.9241169073,-2.5662121128,-0.3103502170,0.1168634447,2.1681995412,-0.4297227500,0.3018131094,-2.6776136652,0.2913959475,-0.0706909618,1.8557648740,0.0508243235,-0.3139316885,0.0003927738,0.0320930139,-1.5180670694,0.9427092186,-0.9695722380,1.1839957034,0.0027468870,-1.5286795038,-0.8381059789,0.4849306250,1.1649890135,-0.0025466361,0.0176919875,0.0005420016
2.7800000000,0.3532807989,0.2565166926,0.3938434237,0.0717760218,-0.3648414105,-0.0539000997,-0.9267328240,-2.5885101063,-0.3302714185,0.0435804461,2.1797594737,-0.4120671238,0.3195855420,-2.6505026465,0.3117367786,-0.0436973540,1.9083912772,0.0345960170,-0.3140950032,0.0156554941,0.0349077187,-1.4700102656,0.9733547128,-0.9678158266,1.1550428500,0.0029105314,-1.5053989228,-0.8466175367,0.4828275735,1.1763676022,-0.0025472202,0.0147453394,0.0001942504
2.8000000000,0.3572975183,0.2525319752,0.3988997796,0.0771170077,-0.3553792271,-0.0548430824,-0.9299197860,-2.6083356168,-0.3443060089,-0.0562894445,2.1828864544,-0.4205279476,0.3231142884,-2.6166416652,0.3335915378,-0.0267054646,1.9530082867,0.0159528088,-0.3127692988,0.0184603426,0.0379610233,-1.4339348382,0.9913833671,-0.9678363248,1.1326319083,0.0029973178,-1.4749245356,-0.8636354167,0.4851709016,1.1781733019,-0.0024149343,0.0131821011,0.0001753754
2.8200000000,0.3605955069,0.2456636933,0.4030832758,0.0746851906,-0.3482253612,-0.0580548785,-0.9326257830,-2.6033120914,-0.3379244864,-0.0982835404,2.1763130692,-0.4229008175,0.3229047302,-2.5846446748,0.3572655801,-0.0102796511,1.9640006691,-0.0194087852,-0.3089498145,0.0044044759,0.0283032745,-1.4060387236,0.9977221357,-0.9592136676,1.1128055894,0.0030256686,-1.4315215893,-0.8823369241,0.4881733074,1.1725579086,-0.0024504258,0.0152136581,0.0001584732
2.8400000000,0.3628099545,0.2432571791,0.4098401014,0.0724587768,-0.3428788567,-0.0605776159,-0.9346197985,-2.5759273640,-0.3227460567,-0.1189575636,2.1679325954,-0.4262948513,0.3184894350,-2.5293388860,0.3822764673,0.0057172480,1.9450794374,-0.0900590158,-0.2993968053,-0.0107094825,0.0230070494,-1.3767764593,0.9934027960,-0.9545604642,1.1058678773,0.0027825823,-1.3930695433,-0.9028844505,0.4985034510,1.1710217634,-0.0023934844,0.0198088738,0.0001500449
2.8600000000,0.3639366128,0.2399539726,0.4169208259,0.0736170420,-0.3382028234,-0.0599812166,-0.9362700652,-2.5468216900,-0.3213503377,-0.1445462781,2.1491304020,-0.4312150337,0.3126930111,-2.4762266032,0.4067751420,0.0137169877,1.9209703156,-0.1332820707,-0.2919317729,-0.0181506655,0.0179815415,-1.3300000332,0.9778714908,-0.9508852815,1.0964343148,0.0029498141,-1.3512647763,-0.9053513224,0.5037959207,1.1880110069,-0.0024652716,0.0234061546,0.0001536833
2.8800000000,0.3646391805,0.2374611929,0.4281143274,0.0756239534,-0.3341204881,-0.0609277408,-0.9375139079,-2.4993560566,-0.3202001693,-0.1705687500,2.1152307896,-0.4378537717,0.3063923665,-2.4221175989,0.4114639122,0.0217846698,1.8864004212,-0.1480448675,-0.2801970469,-0.0230029836,0.0066827468,-1.2771177134,0.9643203813,-0.9383817504,1.0915541267,0.0027403107,-1.3041204753,-0.8915078646,0.5017734979,1.2107871588,-0.0024902804,0.0253258217,0.0008729972
2.9000000000,0.3647765260,0.2328826702,0.4422137918,0.0757762610,-0.3309095066,-0.0605270847,-0.9386657173,-2.4349227217,-0.3061699844,-0.1902786889,2.0652904989,-0.4458783747,0.2951381131,-2.3587284040,0.4103383192,0.0293736174,1.8360682076,-0.1640530272,-0.2597875782,-0.0313758316,-0.0023426664,-1.2177130424,0.9506998576,-0.9365126489,1.0883658063,0.0028372495,-1.2527328675,-0.8697445115,0.4864830767,1.2354939097,-0.0024977648,0.0259512248,0.0013101771
2.9200000000,0.3632725831,0.2278260510,0.4592167998,0.0730844489,-0.3272968010,-0.0573506664,-0.9403437501,-2.3583660529,-0.2839090888,-0.2023734249,2.0029057754,-0.4513979181,0.2870338895,-2.2882849867,0.4088866463,0.0429483594,1.7776189025,-0.1757000804,-0.2454203741,-0.0391567045,-0.0074646872,-1.1567994247,0.9321011370,-0.9353475224,1.0872209795,0.0027853863,-1.2020002521,-0.8476273121,0.4738132380,1.2603047722,-0.0024891627,0.0263617393,0.0013122502
2.9400000000,0.3615519163,0.2246026208,0.4779594750,0.0679238805,-0.3217335874,-0.0547861507,-0.9428002561,-2.2757300347,-0.2608382997,-0.2099727867,1.9348134568,-0.4554089278,0.2649584315,-2.2125404606,0.4054640119,0.0647946054,1.7189691944,-0.1879948228,-0.2278502990,-0.0425826048,-0.0104416012,-1.0878698299,0.9067813492,-0.9270643982,1.0943022396,0.0028005242,-1.1431463816,-0.8275073668,0.4589765628,1.2745496992,-0.0025181848,0.0262400887,0.0013134493
